h3_cell,time_bin,crash_count,center_lat,center_lon,gi_star,gi_p_value,hotspot_type
892a1001a93ffff,Week_2_06-27,2,40.827306188082964,-73.86014763742241,0.5649713418835856,0.05,Normal
892a1001a97ffff,Week_2_06-27,2,40.824718097906285,-73.8579097431957,0.5649713418835856,0.05,Normal
892a1001aa7ffff,Week_2_06-27,1,40.81414484842231,-73.85752398505187,-0.5491900194846029,0.05,Normal
892a1001aabffff,Week_2_06-27,1,40.81662160610717,-73.86404323872151,-0.5491900194846029,0.05,Normal
892a1001aafffff,Week_2_06-27,1,40.81403394149139,-73.86180563210313,-0.5491900194846029,0.05,Normal
892a1001ac3ffff,Week_2_06-27,4,40.82697271375174,-73.8729961737882,2.7932940646199627,0.05,Hot Spot
892a1001ac7ffff,Week_2_06-27,1,40.82438486950803,-73.87075756366187,-0.5491900194846029,0.05,Normal
892a1001acbffff,Week_2_06-27,1,40.8268612384312,-73.87727900817723,-0.5491900194846029,0.05,Normal
892a1001acfffff,Week_2_06-27,3,40.82427347620428,-73.87504015946894,1.679132703251774,0.05,Hot Spot
892a1001bd7ffff,Week_2_06-27,1,40.80896949032792,-73.85305000121201,-0.5491900194846029,0.05,Normal
892a1001c03ffff,Week_2_06-27,1,40.83876354521809,-73.82626337090076,-0.5491900194846029,0.05,Normal
892a1001c2fffff,Week_2_06-27,1,40.82818847419034,-73.8258846387449,-0.5491900194846029,0.05,Normal
892a1001c6fffff,Week_2_06-27,1,40.830557480876216,-73.83668713218283,-0.5491900194846029,0.05,Normal
892a1001c77ffff,Week_2_06-27,2,40.83336609965763,-73.8303573592985,0.5649713418835856,0.05,Normal
892a1001c8fffff,Week_2_06-27,1,40.84157184811107,-73.81993192070888,-0.5491900194846029,0.05,Normal
892a1001c9bffff,Week_2_06-27,1,40.84686008861688,-73.82012064753057,-0.5491900194846029,0.05,Normal
892a1001cd3ffff,Week_2_06-27,1,40.84934001132713,-73.82664227394885,-0.5491900194846029,0.05,Normal
892a1001cd7ffff,Week_2_06-27,1,40.846750578584526,-73.82440523853761,-0.5491900194846029,0.05,Normal
892a1001cdbffff,Week_2_06-27,1,40.849230260656526,-73.83092709900444,-0.5491900194846029,0.05,Normal
892a1001d53ffff,Week_2_06-27,1,40.82570921928178,-73.81936599558823,-0.5491900194846029,0.05,Normal
892a1001d77ffff,Week_2_06-27,1,40.815245199676816,-73.8147072260267,-0.5491900194846029,0.05,Normal
892a1001d7bffff,Week_2_06-27,1,40.81772436076277,-73.82122414475003,-0.5491900194846029,0.05,Normal
892a1001e07ffff,Week_2_06-27,1,40.83540351249193,-73.85401209199972,-0.5491900194846029,0.05,Normal
892a1001e17ffff,Week_2_06-27,1,40.83810272096945,-73.85196644632548,-0.5491900194846029,0.05,Normal
892a1001e1bffff,Week_2_06-27,1,40.840580588747656,-73.8584887067166,-0.5491900194846029,0.05,Normal
892a1001e2fffff,Week_2_06-27,1,40.8274170289803,-73.85586478106039,-0.5491900194846029,0.05,Normal
892a1001e33ffff,Week_2_06-27,1,40.8328150417101,-73.85177416114446,-0.5491900194846029,0.05,Normal
892a1001e37ffff,Week_2_06-27,1,40.830226615855416,-73.84953648124417,-0.5491900194846029,0.05,Normal
892a1001e3bffff,Week_2_06-27,1,40.832704354170595,-73.85605750571779,-0.5491900194846029,0.05,Normal
892a1001e43ffff,Week_2_06-27,2,40.840358563083285,-73.86705682314845,0.5649713418835856,0.05,Normal
892a1001e47ffff,Week_2_06-27,1,40.8377701665335,-73.864817912696,-0.5491900194846029,0.05,Normal
892a1001e4bffff,Week_2_06-27,4,40.840247312191835,-73.87134087313568,2.7932940646199627,0.05,Hot Spot
892a1001e5bffff,Week_2_06-27,1,40.84294700445297,-73.86929598468912,-0.5491900194846029,0.05,Normal
892a1001e77ffff,Week_2_06-27,2,40.832593507983056,-73.86034084491413,0.5649713418835856,0.05,Normal
892a1001e7bffff,Week_2_06-27,2,40.835070727992495,-73.86686282579292,0.5649713418835856,0.05,Normal
892a1001e83ffff,Week_2_06-27,1,40.84350128830653,-73.84787445897156,-0.5491900194846029,0.05,Normal
892a1001e8fffff,Week_2_06-27,2,40.840801979581535,-73.84992056866083,0.5649713418835856,0.05,Normal
892a1001e97ffff,Week_2_06-27,1,40.84361166889128,-73.8435901377727,-0.5491900194846029,0.05,Normal
892a1001ea3ffff,Week_2_06-27,1,40.83562457548406,-73.84544490928415,-0.5491900194846029,0.05,Normal
892a1001eabffff,Week_2_06-27,1,40.83551412332265,-73.84972850329535,-0.5491900194846029,0.05,Normal
892a1001ebbffff,Week_2_06-27,1,40.838213255071445,-73.84768261347321,-0.5491900194846029,0.05,Normal
892a1001ed3ffff,Week_2_06-27,1,40.84856842242457,-73.8566359405695,-0.5491900194846029,0.05,Normal
892a1003337ffff,Week_2_06-27,1,40.88691516568064,-73.80652865492985,-0.5491900194846029,0.05,Normal
892a100464bffff,Week_2_06-27,1,40.75192615499208,-73.70332916323186,-0.5491900194846029,0.05,Normal
892a1005007ffff,Week_2_06-27,1,40.74558487902287,-73.74590683683016,-0.5491900194846029,0.05,Normal
892a100501bffff,Week_2_06-27,1,40.750759923148046,-73.75036258512245,-0.5491900194846029,0.05,Normal
892a1005047ffff,Week_2_06-27,6,40.747958443983634,-73.75668558790582,5.02161678735634,0.05,Hot Spot
892a1005057ffff,Week_2_06-27,1,40.75065295389052,-73.75463832661747,-0.5491900194846029,0.05,Normal
892a1005083ffff,Week_2_06-27,1,40.75366771691779,-73.73976286875839,-0.5491900194846029,0.05,Normal
892a10050a7ffff,Week_2_06-27,2,40.74321040344774,-73.73512927288266,0.5649713418835856,0.05,Normal
892a10050b7ffff,Week_2_06-27,2,40.74590435195721,-73.73308101874542,0.5649713418835856,0.05,Normal
892a10050d7ffff,Week_2_06-27,3,40.756148939465554,-73.74626688259363,1.679132703251774,0.05,Hot Spot
892a100512bffff,Week_2_06-27,1,40.72208713827623,-73.73441455699768,-0.5491900194846029,0.05,Normal
892a100513bffff,Week_2_06-27,1,40.72478037867379,-73.73236718426236,-0.5491900194846029,0.05,Normal
892a1005153ffff,Week_2_06-27,1,40.735128858235626,-73.74127264654092,-0.5491900194846029,0.05,Normal
892a1005187ffff,Week_2_06-27,1,40.73296632831812,-73.72194959394604,-0.5491900194846029,0.05,Normal
892a1005193ffff,Week_2_06-27,1,40.738247331877524,-73.72212685025649,-0.5491900194846029,0.05,Normal
892a10051abffff,Week_2_06-27,1,40.72757975086164,-73.72604598082313,-0.5491900194846029,0.05,Normal
892a10051afffff,Week_2_06-27,5,40.724992537944644,-73.72382046621729,3.907455425988151,0.05,Hot Spot
892a10051cbffff,Week_2_06-27,1,40.73782265656539,-73.73922508674637,-0.5491900194846029,0.05,Normal
892a1005203ffff,Week_2_06-27,1,40.74742084337603,-73.77806301712948,-0.5491900194846029,0.05,Normal
892a1005227ffff,Week_2_06-27,1,40.7369657253545,-73.77342136207457,-0.5491900194846029,0.05,Normal
892a1005233ffff,Week_2_06-27,1,40.74224702752603,-73.77360443046658,-0.5491900194846029,0.05,Normal
892a100526fffff,Week_2_06-27,2,40.7392282390471,-73.78847451544777,0.5649713418835856,0.05,Normal
892a1005293ffff,Week_2_06-27,1,40.75561328127514,-73.76764797508811,-0.5491900194846029,0.05,Normal
892a10052a3ffff,Week_2_06-27,1,40.74504926437014,-73.76728311706866,-0.5491900194846029,0.05,Normal
892a10052abffff,Week_2_06-27,1,40.744941667481854,-73.77155836020252,-0.5491900194846029,0.05,Normal
892a10052b3ffff,Week_2_06-27,1,40.74774387775555,-73.76523657268022,-0.5491900194846029,0.05,Normal
892a10052cbffff,Week_2_06-27,1,40.755181909553855,-73.78475277063559,-0.5491900194846029,0.05,Normal
892a10052d3ffff,Week_2_06-27,2,40.7579851874756,-73.77843032256618,0.5649713418835856,0.05,Normal
892a100530fffff,Week_2_06-27,2,40.72661933314125,-73.76450822905173,0.5649713418835856,0.05,Normal
892a1005323ffff,Week_2_06-27,2,40.721446411855325,-73.76005315981193,0.5649713418835856,0.05,Normal
892a1005333ffff,Week_2_06-27,1,40.72414011293343,-73.75800724145856,-0.5491900194846029,0.05,Normal
892a1005343ffff,Week_2_06-27,1,40.7316847730471,-73.77323833488157,-0.5491900194846029,0.05,Normal
892a1005357ffff,Week_2_06-27,1,40.731792437699966,-73.76896429637877,-0.5491900194846029,0.05,Normal
892a1005363ffff,Week_2_06-27,1,40.72381784938959,-73.77082721317547,-0.5491900194846029,0.05,Normal
892a10053abffff,Week_2_06-27,1,40.7268338642405,-73.75596109189476,-0.5491900194846029,0.05,Normal
892a1005423ffff,Week_2_06-27,1,40.75916278993816,-73.73138925034415,-0.5491900194846029,0.05,Normal
892a1005427ffff,Week_2_06-27,1,40.756574620791554,-73.7291619338653,-0.5491900194846029,0.05,Normal
892a10054a3ffff,Week_2_06-27,3,40.76465759671214,-73.72301373059666,1.679132703251774,0.05,Hot Spot
892a1005557ffff,Week_2_06-27,1,40.75139842008501,-73.72470805002574,-0.5491900194846029,0.05,Normal
892a1005567ffff,Week_2_06-27,2,40.740835017629735,-73.72435289662967,0.5649713418835856,0.05,Normal
892a100556bffff,Week_2_06-27,1,40.74331665537421,-73.73085423469064,-0.5491900194846029,0.05,Normal
892a1005583ffff,Week_2_06-27,1,40.75440932554998,-73.70983081023881,-0.5491900194846029,0.05,Normal
892a1005597ffff,Week_2_06-27,1,40.75451463742832,-73.70555478657928,-0.5491900194846029,0.05,Normal
892a10055b3ffff,Week_2_06-27,1,40.749232568586784,-73.70537933554294,-0.5491900194846029,0.05,Normal
892a10055cfffff,Week_2_06-27,3,40.75409244159148,-73.72265885864907,1.679132703251774,0.05,Hot Spot
892a10055dbffff,Week_2_06-27,1,40.75937484432415,-73.72283627464529,-0.5491900194846029,0.05,Normal
892a1005633ffff,Week_2_06-27,1,40.761110560569804,-73.75927707874295,-0.5491900194846029,0.05,Normal
892a100564fffff,Week_2_06-27,1,40.7659633091541,-73.77656732988794,-0.5491900194846029,0.05,Normal
892a100565bffff,Week_2_06-27,1,40.771246532328206,-73.77675086591923,-0.5491900194846029,0.05,Normal
892a100566fffff,Week_2_06-27,2,40.75809303267369,-73.77415388297585,0.5649713418835856,0.05,Normal
892a1005673ffff,Week_2_06-27,1,40.76348342535997,-73.77006019083404,-0.5491900194846029,0.05,Normal
892a10056afffff,Week_2_06-27,2,40.761217696563925,-73.75500037880843,0.5649713418835856,0.05,Normal
892a1005807ffff,Week_2_06-27,3,40.690518953415314,-73.72907345564808,1.679132703251774,0.05,Hot Spot
892a1005817ffff,Week_2_06-27,2,40.693211054099734,-73.72702716161187,0.5649713418835856,0.05,Normal
892a1005827ffff,Week_2_06-27,1,40.68265536187522,-73.72667192614831,-0.5491900194846029,0.05,Normal
892a1005843ffff,Week_2_06-27,1,40.69547803071457,-73.74206347991343,-0.5491900194846029,0.05,Normal
892a1005853ffff,Week_2_06-27,1,40.6981705388111,-73.74001769201789,-0.5491900194846029,0.05,Normal
892a1005863ffff,Week_2_06-27,1,40.687614170709836,-73.73965949635945,-0.5491900194846029,0.05,Normal
892a1005873ffff,Week_2_06-27,1,40.69030637455256,-73.7376139172701,-0.5491900194846029,0.05,Normal
892a100588bffff,Week_2_06-27,1,40.69848942575249,-73.72720483926001,-0.5491900194846029,0.05,Normal
892a100588fffff,Week_2_06-27,1,40.695903205013416,-73.72498063655702,-0.5491900194846029,0.05,Normal
892a10058c7ffff,Week_2_06-27,1,40.69838328773728,-73.7314757941565,-0.5491900194846029,0.05,Normal
892a100594fffff,Week_2_06-27,2,40.67468647252373,-73.7285400024703,0.5649713418835856,0.05,Normal
892a1005a0bffff,Week_2_06-27,1,40.692250175637405,-73.76546128821185,-0.5491900194846029,0.05,Normal
892a1005a0fffff,Week_2_06-27,2,40.68966485627379,-73.76323520394138,0.5649713418835856,0.05,Normal
892a1005a2fffff,Week_2_06-27,1,40.68180194591763,-73.7608279319695,-0.5491900194846029,0.05,Normal
892a1005a33ffff,Week_2_06-27,1,40.687186815558185,-73.75673940269424,-0.5491900194846029,0.05,Normal
892a1005a37ffff,Week_2_06-27,1,40.68460150723724,-73.75451405446333,-0.5491900194846029,0.05,Normal
892a1005a6fffff,Week_2_06-27,1,40.684171955249525,-73.77159294180865,-0.5491900194846029,0.05,Normal
892a1005a77ffff,Week_2_06-27,1,40.68697219268992,-73.76527933061026,-0.5491900194846029,0.05,Normal
892a1005a87ffff,Week_2_06-27,1,40.69526449789943,-73.75060487731008,-0.5491900194846029,0.05,Normal
892a1005a97ffff,Week_2_06-27,1,40.697957159361984,-73.74855957365412,-0.5491900194846029,0.05,Normal
892a1005a9bffff,Week_2_06-27,2,40.70043601448812,-73.75505638840433,0.5649713418835856,0.05,Normal
892a1005ab7ffff,Week_2_06-27,1,40.69009316540423,-73.74615436277934,-0.5491900194846029,0.05,Normal
892a1005adbffff,Week_2_06-27,2,40.702807192476946,-73.76582532618673,0.5649713418835856,0.05,Normal
892a1005b23ffff,Week_2_06-27,1,40.66639905409203,-73.74321165192585,-0.5491900194846029,0.05,Normal
892a1005b2bffff,Week_2_06-27,2,40.66629231111907,-73.74747971172687,0.5649713418835856,0.05,Normal
892a1005b53ffff,Week_2_06-27,1,40.679324038916405,-73.7543333577596,-0.5491900194846029,0.05,Normal
892a1005b57ffff,Week_2_06-27,1,40.676738949711606,-73.75210851876372,-0.5491900194846029,0.05,Normal
892a1005b63ffff,Week_2_06-27,1,40.668770153747765,-73.75397208618487,-0.5491900194846029,0.05,Normal
