H3_Cell_ID,Centroid_Lat,Centroid_Lon,Time_Period,Alarm_Type,Crash_Count,Gi_Star_Score,Priority,Recommended_Action,Hot_Period_Count
892a1008d87ffff,40.80155262266892,-73.93418981159863,Week_5_08-08,Persistent Hotspot,2,2.315,High,Coordinate with city traffic department for long-term safety improvements,2
892a1008d8fffff,40.80143887480697,-73.93847038880153,Week_5_08-08,Persistent Hotspot,1,-0.375,High,Coordinate with city traffic department for long-term safety improvements,3
892a1008da3ffff,40.79626732118498,-73.93398840494557,Week_5_08-08,Persistent Hotspot,1,-0.375,High,Coordinate with city traffic department for long-term safety improvements,2
892a1008dcbffff,40.80638230701124,-73.95151546362827,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,2
892a1008dd7ffff,40.8066106070299,-73.94295337632198,Week_5_08-08,Persistent Hotspot,1,-0.375,High,Coordinate with city traffic department for long-term safety improvements,3
892a100a5afffff,40.88729458226248,-73.89453509659202,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,1
892a100a867ffff,40.82832474779245,-73.92234851969427,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,2
892a100a86bffff,40.83079839358019,-73.92887350172751,Week_5_08-08,Persistent Hotspot,1,-0.375,High,Coordinate with city traffic department for long-term safety improvements,2
892a100a89bffff,40.84452704063809,-73.91009593948189,Week_5_08-08,Persistent Hotspot,1,-0.375,High,Coordinate with city traffic department for long-term safety improvements,3
892a100a91bffff,40.82090213992676,-73.9027779039715,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,3
892a100a9bbffff,40.818539561524915,-73.89197372427012,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,2
892a100aa07ffff,40.83304403400936,-73.94396614412331,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,1
892a100ab23ffff,40.80965156765415,-73.92807004400817,Week_5_08-08,Persistent Hotspot,1,-0.375,High,Coordinate with city traffic department for long-term safety improvements,2
892a100ab6bffff,40.81189659456596,-73.94315583855997,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,1
892a100aba3ffff,40.8151643255262,-73.91970723708859,Week_5_08-08,Persistent Hotspot,1,-0.375,High,Coordinate with city traffic department for long-term safety improvements,2
892a100ac23ffff,40.84745265734937,-73.89948357376652,Week_5_08-08,Persistent Hotspot,1,-0.375,High,Coordinate with city traffic department for long-term safety improvements,2
892a100ac27ffff,40.84486461929684,-73.89724247757255,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,2
892a100accbffff,40.86309460670048,-73.9086492589729,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,1
892a100ad77ffff,40.831813142599884,-73.89032406471225,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,1
892a100adb3ffff,40.83754767014328,-73.87338552964223,Week_5_08-08,Persistent Hotspot,1,-0.375,High,Coordinate with city traffic department for long-term safety improvements,3
892a100adc7ffff,40.84250072030675,-73.88643310605704,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,2
892a100ae9bffff,40.86264251526453,-73.92579390257816,Week_5_08-08,Persistent Hotspot,2,2.315,High,Coordinate with city traffic department for long-term safety improvements,2
892a100c097ffff,40.73186095587501,-73.86949985715385,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,3
892a100c5d3ffff,40.73758592371169,-73.85259509859722,Week_5_08-08,Persistent Hotspot,2,2.315,High,Coordinate with city traffic department for long-term safety improvements,3
892a100c607ffff,40.74175263783957,-73.89553829702075,Week_5_08-08,Persistent Hotspot,1,-0.375,High,Coordinate with city traffic department for long-term safety improvements,2
892a100c613ffff,40.74703431989123,-73.89573513898608,Week_5_08-08,Persistent Hotspot,1,-0.375,High,Coordinate with city traffic department for long-term safety improvements,3
892a100c687ffff,40.74725852935127,-73.887183979588,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,1
892a100c6b7ffff,40.74208869825875,-73.88271299255817,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,1
892a100c857ffff,40.67368156901611,-73.87163906253141,Week_5_08-08,New Hotspot,2,2.315,High,Investigate recent spike in crashes and identify contributing factors,1
892a100c8cbffff,40.678958727715525,-73.87183293136655,Week_5_08-08,Intensifying Hotspot,3,5.005,High,Deploy additional safety patrols and consider traffic interventions,1
892a100c8dbffff,40.68165312112803,-73.86979508316257,Week_5_08-08,Intensifying Hotspot,3,5.005,High,Deploy additional safety patrols and consider traffic interventions,2
