h3_cell,center_lat,center_lon,trend_slope,trend_p_value,trend_significance,trend_direction,total_crashes
892a10050b7ffff,40.74590435195721,-73.73308101874542,0.029814687790289007,1.0,Not Significant,Increasing,4
892a10050d7ffff,40.756148939465554,-73.74626688259363,0.029814687790289007,1.0,Not Significant,Increasing,5
892a1005187ffff,40.73296632831812,-73.72194959394604,0.30954642772710145,0.22067136191984682,Not Significant,Increasing,9
892a10051afffff,40.724992537944644,-73.72382046621729,-0.41550070214487855,0.7340951823194757,Not Significant,Decreasing,9
892a10051cbffff,40.73782265656539,-73.73922508674637,0.5609925433331875,0.2962698714842864,Not Significant,Increasing,4
892a10052abffff,40.744941667481854,-73.77155836020252,0.03038255015716177,0.3081795474670539,Not Significant,Increasing,7
892a10052b3ffff,40.74774387775555,-73.76523657268022,0.21798046826756642,0.3081795474670539,Not Significant,Increasing,5
892a10052d3ffff,40.7579851874756,-73.77843032256618,0.22915204616214982,0.3081795474670539,Not Significant,Increasing,7
892a100530fffff,40.72661933314125,-73.76450822905173,-1.081952224255427,0.2962698714842864,Not Significant,Decreasing,8
892a1005323ffff,40.721446411855325,-73.76005315981193,0.20507786764567268,0.3081795474670539,Not Significant,Increasing,6
892a1005333ffff,40.72414011293343,-73.75800724145856,0.01494614397919237,0.3081795474670539,Not Significant,Increasing,4
892a1005357ffff,40.731792437699966,-73.76896429637877,0.009370366896556903,1.0,Not Significant,Increasing,3
892a10053abffff,40.7268338642405,-73.75596109189476,-0.1359467910797645,1.0,Not Significant,Decreasing,8
892a10054a3ffff,40.76465759671214,-73.72301373059666,0.3557290995170638,1.0,Not Significant,Increasing,10
892a1005567ffff,40.740835017629735,-73.72435289662967,0.6548900446192083,0.08641073297370006,Not Significant,Increasing,8
892a100556bffff,40.74331665537421,-73.73085423469064,0.6077539405898456,1.0,Not Significant,Increasing,6
892a10055cfffff,40.75409244159148,-73.72265885864907,-0.44005346678761637,1.0,Not Significant,Decreasing,6
892a1005673ffff,40.76348342535997,-73.77006019083404,-2.1805771940199605,0.2962698714842864,Not Significant,Decreasing,7
892a10056afffff,40.761217696563925,-73.75500037880843,0.544382484920453,0.7340951823194757,Not Significant,Increasing,7
892a1005807ffff,40.690518953415314,-73.72907345564808,-0.5026880696042401,1.0,Not Significant,Decreasing,8
892a1005817ffff,40.693211054099734,-73.72702716161187,0.015083440543676718,1.0,Not Significant,Increasing,5
892a1005843ffff,40.69547803071457,-73.74206347991343,0.029814687790289007,0.2962698714842864,Not Significant,Increasing,3
892a100588bffff,40.69848942575249,-73.72720483926001,0.08715046818152314,1.0,Not Significant,Increasing,3
892a100594fffff,40.67468647252373,-73.7285400024703,0.5609925433331875,1.0,Not Significant,Increasing,5
892a1005a0bffff,40.692250175637405,-73.76546128821185,0.009370366896556903,1.0,Not Significant,Increasing,3
892a1005a33ffff,40.687186815558185,-73.75673940269424,0.029814687790289007,0.2962698714842864,Not Significant,Increasing,3
892a1005a6fffff,40.684171955249525,-73.77159294180865,0.029814687790289007,0.2962698714842864,Not Significant,Increasing,3
892a1005a9bffff,40.70043601448812,-73.75505638840433,0.029814687790289007,1.0,Not Significant,Increasing,4
892a1005ab7ffff,40.69009316540423,-73.74615436277934,0.029814687790289007,0.2962698714842864,Not Significant,Increasing,3
892a1005b23ffff,40.66639905409203,-73.74321165192585,0.08715046818152314,1.0,Not Significant,Increasing,3
